"","season","episode","drink_words_per_episode"
"1","1","1",17
"2","1","2",7
"3","1","3",9
"4","1","4",5
"5","1","5",11
"6","1","6",8
"7","1","7",1
"8","1","8",1
"9","1","9",5
"10","2","1",7
"11","2","2",16
"12","2","3",8
"13","2","4",8
"14","2","5",7
"15","2","6",5
"16","2","7",11
"17","2","8",5
"18","2","9",7
"19","3","1",7
"20","3","2",7
"21","3","3",12
"22","3","4",15
"23","3","5",8
"24","3","6",5
"25","3","7",10
"26","3","9",2
"27","4","1",25
"28","4","2",9
"29","4","3",4
"30","4","4",13
"31","4","5",7
"32","4","6",6
"33","4","7",17
"34","4","8",10
"35","4","9",3
"36","5","1",8
"37","5","2",3
"38","5","3",29
"39","5","4",6
"40","5","5",14
"41","5","6",2
"42","5","7",5
"43","5","8",7
"44","5","9",10
"45","6","1",14
"46","6","2",10
"47","6","3",15
"48","6","4",8
"49","6","5",9
"50","6","6",2
"51","6","7",5
"52","6","8",2
"53","6","9",4
"54","7","1",5
"55","7","2",7
"56","7","3",3
"57","7","4",2
"58","7","5",2
"59","7","6",0
"60","7","7",5
"61","7","8",2
"62","7","9",4
"63","8","1",6
"64","8","2",26
"65","8","3",7
"66","8","4",1
